Hostname,LocalIP,HostType,OSVersion,MachineDomain,OU,SiteName,Product,CVE ID,CVE Description,Status,Severity,Created Date,Closed Date,Closed Dwell Time,Base Score,CVSS Version,Vector,Vendor Advisory,References,Recommended Remediations,Remediation Details,Remediation Links,Group Names,Tags,Host ID,Exploit status value,Exploit status label,Platform,Vulnerable Product Versions,Closed Product Versions,RemediationLevel
RISE-CLK2NDDEV,142.103.33.35,Server,Windows Server 2016,ead.ubc.ca,"Extranet Application Servers,Servers,RISE,SERVICES",Vancouver,Visual Studio 2017,CVE-2020-1147,"A remote code execution vulnerability exists in .NET Framework, Microsoft SharePoint, and Visual Studio when the software fails to check the source markup of XML file input, aka '.NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability'.",open,HIGH,2021-07-27T17:14:43Z,,0,7.8,3.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1147,"http://packetstormsecurity.com/files/158694/SharePoint-DataSet-DataTable-Deserialization.html, http://packetstormsecurity.com/files/158876/Microsoft-SharePoint-Server-2019-Remote-Code-Execution.html, https://www.exploitalert.com/view-details.html?id=35992",Update Microsoft Visual Studio 2017,Update Microsoft Visual Studio 2017 to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,99c8238a251f4ac3b982b260b8e24c54,90,Actively used (critical),Windows,Visual Studio 2017,,O
RISE-CLK2NDDEV,142.103.33.35,Server,Windows Server 2016,ead.ubc.ca,"Extranet Application Servers,Servers,RISE,SERVICES",Vancouver,.Net Core,CVE-2020-1147,"A remote code execution vulnerability exists in .NET Framework, Microsoft SharePoint, and Visual Studio when the software fails to check the source markup of XML file input, aka '.NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability'.",open,HIGH,2021-07-27T17:14:43Z,,0,7.8,3.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1147,"http://packetstormsecurity.com/files/158694/SharePoint-DataSet-DataTable-Deserialization.html, http://packetstormsecurity.com/files/158876/Microsoft-SharePoint-Server-2019-Remote-Code-Execution.html, https://www.exploitalert.com/view-details.html?id=35992",Update Microsoft .Net Core,Update Microsoft .Net Core to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,99c8238a251f4ac3b982b260b8e24c54,90,Actively used (critical),Windows,.Net Core 2.1,,O
RISE-CLK2NDDEV,142.103.33.35,Server,Windows Server 2016,ead.ubc.ca,"Extranet Application Servers,Servers,RISE,SERVICES",Vancouver,Visual Studio 2017,CVE-2019-1350,"A remote code execution vulnerability exists when Git for Visual Studio improperly sanitizes input, aka 'Git for Visual Studio Remote Code Execution Vulnerability'. This CVE ID is unique from CVE-2019-1349, CVE-2019-1352, CVE-2019-1354, CVE-2019-1387.",open,HIGH,2021-07-27T17:14:43Z,,0,8.8,3.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1350,"https://public-inbox.org/git/xmqqr21cqcn9.fsf@gitster-ct.c.googlers.com/, http://lists.opensuse.org/opensuse-security-announce/2020-01/msg00056.html, https://security.gentoo.org/glsa/202003-30, https://security.gentoo.org/glsa/202003-42, http://lists.opensuse.org/opensuse-security-announce/2020-05/msg00003.html",Update Microsoft Visual Studio 2017,Update Microsoft Visual Studio 2017 to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,99c8238a251f4ac3b982b260b8e24c54,90,Actively used (critical),Windows,Visual Studio 2017,,O
RISE-CLK2NDDEV,142.103.33.35,Server,Windows Server 2016,ead.ubc.ca,"Extranet Application Servers,Servers,RISE,SERVICES",Vancouver,Visual Studio 2019,CVE-2019-1350,"A remote code execution vulnerability exists when Git for Visual Studio improperly sanitizes input, aka 'Git for Visual Studio Remote Code Execution Vulnerability'. This CVE ID is unique from CVE-2019-1349, CVE-2019-1352, CVE-2019-1354, CVE-2019-1387.",open,HIGH,2021-07-27T17:14:43Z,,0,8.8,3.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1350,"https://public-inbox.org/git/xmqqr21cqcn9.fsf@gitster-ct.c.googlers.com/, http://lists.opensuse.org/opensuse-security-announce/2020-01/msg00056.html, https://security.gentoo.org/glsa/202003-30, https://security.gentoo.org/glsa/202003-42, http://lists.opensuse.org/opensuse-security-announce/2020-05/msg00003.html",Update Microsoft Visual Studio 2019,Update Microsoft Visual Studio 2019 to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,99c8238a251f4ac3b982b260b8e24c54,90,Actively used (critical),Windows,Visual Studio 2019,,O
RISE-CLK2NDDEV,142.103.33.35,Server,Windows Server 2016,ead.ubc.ca,"Extranet Application Servers,Servers,RISE,SERVICES",Vancouver,Visual Studio 2019,CVE-2020-1147,"A remote code execution vulnerability exists in .NET Framework, Microsoft SharePoint, and Visual Studio when the software fails to check the source markup of XML file input, aka '.NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability'.",open,HIGH,2021-07-27T17:14:43Z,,0,7.8,3.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1147,"http://packetstormsecurity.com/files/158694/SharePoint-DataSet-DataTable-Deserialization.html, http://packetstormsecurity.com/files/158876/Microsoft-SharePoint-Server-2019-Remote-Code-Execution.html, https://www.exploitalert.com/view-details.html?id=35992",Update Microsoft Visual Studio 2019,Update Microsoft Visual Studio 2019 to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,99c8238a251f4ac3b982b260b8e24c54,90,Actively used (critical),Windows,Visual Studio 2019,,O
RISE-RPTDEVAPP,142.103.33.28,Server,Windows Server 2016,ead.ubc.ca,"ExR Application Servers,Servers,RISE,SERVICES",Vancouver,Visual Studio 2017,CVE-2020-1147,"A remote code execution vulnerability exists in .NET Framework, Microsoft SharePoint, and Visual Studio when the software fails to check the source markup of XML file input, aka '.NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability'.",open,HIGH,2021-07-29T17:42:49Z,,0,7.8,3.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1147,"http://packetstormsecurity.com/files/158694/SharePoint-DataSet-DataTable-Deserialization.html, http://packetstormsecurity.com/files/158876/Microsoft-SharePoint-Server-2019-Remote-Code-Execution.html, https://www.exploitalert.com/view-details.html?id=35992",Update Microsoft Visual Studio 2017,Update Microsoft Visual Studio 2017 to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,12467e7546354eb48dbcb2546bf430d0,90,Actively used (critical),Windows,Visual Studio 2017,,O
RISE-RPTDEVAPP,142.103.33.28,Server,Windows Server 2016,ead.ubc.ca,"ExR Application Servers,Servers,RISE,SERVICES",Vancouver,Visual Studio 2017,CVE-2018-8232,"A Tampering vulnerability exists when Microsoft Macro Assembler improperly validates code, aka ""Microsoft Macro Assembler Tampering Vulnerability."" This affects Microsoft Visual Studio.",open,HIGH,2021-07-29T17:42:49Z,,0,7.8,3.0,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8232,"http://www.securitytracker.com/id/1041271, http://www.securityfocus.com/bid/104640",Update Microsoft Visual Studio 2017,Update Microsoft Visual Studio 2017 to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,12467e7546354eb48dbcb2546bf430d0,90,Actively used (critical),Windows,Visual Studio 2017,,O
RISE-EXRPRODPW,10.7.16.235,Server,Windows Server 2016,ead.ubc.ca,"Servers,RISE,SERVICES",Vancouver,Visual Studio 2017,CVE-2019-1350,"A remote code execution vulnerability exists when Git for Visual Studio improperly sanitizes input, aka 'Git for Visual Studio Remote Code Execution Vulnerability'. This CVE ID is unique from CVE-2019-1349, CVE-2019-1352, CVE-2019-1354, CVE-2019-1387.",open,HIGH,2021-07-27T17:11:22Z,,0,8.8,3.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-1350,"https://public-inbox.org/git/xmqqr21cqcn9.fsf@gitster-ct.c.googlers.com/, http://lists.opensuse.org/opensuse-security-announce/2020-01/msg00056.html, https://security.gentoo.org/glsa/202003-30, https://security.gentoo.org/glsa/202003-42, http://lists.opensuse.org/opensuse-security-announce/2020-05/msg00003.html",Update Microsoft Visual Studio 2017,Update Microsoft Visual Studio 2017 to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,6b6d0ec61fd34872892507fcd5384b61,90,Actively used (critical),Windows,Visual Studio 2017,,O
RISE-EXRPRODPW,10.7.16.235,Server,Windows Server 2016,ead.ubc.ca,"Servers,RISE,SERVICES",Vancouver,.Net Core,CVE-2020-1147,"A remote code execution vulnerability exists in .NET Framework, Microsoft SharePoint, and Visual Studio when the software fails to check the source markup of XML file input, aka '.NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability'.",open,HIGH,2021-07-27T17:11:22Z,,0,7.8,3.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1147,"http://packetstormsecurity.com/files/158694/SharePoint-DataSet-DataTable-Deserialization.html, http://packetstormsecurity.com/files/158876/Microsoft-SharePoint-Server-2019-Remote-Code-Execution.html, https://www.exploitalert.com/view-details.html?id=35992",Update Microsoft .Net Core,Update Microsoft .Net Core to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,6b6d0ec61fd34872892507fcd5384b61,90,Actively used (critical),Windows,.Net Core 2.1,,O
RISE-EXRPRODPW,10.7.16.235,Server,Windows Server 2016,ead.ubc.ca,"Servers,RISE,SERVICES",Vancouver,Visual Studio 2017,CVE-2020-1147,"A remote code execution vulnerability exists in .NET Framework, Microsoft SharePoint, and Visual Studio when the software fails to check the source markup of XML file input, aka '.NET Framework, SharePoint Server, and Visual Studio Remote Code Execution Vulnerability'.",open,HIGH,2021-07-27T17:11:22Z,,0,7.8,3.0,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1147,"http://packetstormsecurity.com/files/158694/SharePoint-DataSet-DataTable-Deserialization.html, http://packetstormsecurity.com/files/158876/Microsoft-SharePoint-Server-2019-Remote-Code-Execution.html, https://www.exploitalert.com/view-details.html?id=35992",Update Microsoft Visual Studio 2017,Update Microsoft Visual Studio 2017 to the latest available version,,GRP-Win-Servers,FalconGroupingTags/RISe,6b6d0ec61fd34872892507fcd5384b61,90,Actively used (critical),Windows,Visual Studio 2017,,O
