Hostname,LocalIP,HostType,OSVersion,MachineDomain,OU,SiteName,Product,CVE ID,CVE Description,Status,Severity,Created Date,Closed Date,Closed Dwell Time,Base Score,CVSS Version,Vector,Vendor Advisory,References,Recommended Remediations,Remediation Details,Remediation Links,Group Names,Tags,Host ID,Exploit status value,Exploit status label,Platform,Vulnerable Product Versions,Closed Product Versions,RemediationLevel
RISE-SSRS2NDDEV,10.7.136.105,Server,Windows Server 2016,ead.ubc.ca,"SSRS Application Servers,Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-33742,Windows MSHTML Platform Remote Code Execution Vulnerability,open,HIGH,2021-06-09T16:10:37Z,,0,7.5,3.0,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33742,,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,774e45aee28940ba8c5b97ff8acd0bd6,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-SSRS2NDDEV,10.7.136.105,Server,Windows Server 2016,ead.ubc.ca,"SSRS Application Servers,Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-31956,Windows NTFS Elevation of Privilege Vulnerability,open,HIGH,2021-06-09T16:10:37Z,,0,7.8,3.0,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31956,,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,774e45aee28940ba8c5b97ff8acd0bd6,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-SSRS2NDDEV,10.7.136.105,Server,Windows Server 2016,ead.ubc.ca,"SSRS Application Servers,Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-33771,Windows Kernel Elevation of Privilege Vulnerability,open,HIGH,2021-07-15T19:23:50Z,,0,7.8,3.0,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33771,,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,774e45aee28940ba8c5b97ff8acd0bd6,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-SSRS2NDDEV,10.7.136.105,Server,Windows Server 2016,ead.ubc.ca,"SSRS Application Servers,Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-34527,Windows Print Spooler Remote Code Execution Vulnerability,open,CRITICAL,2021-07-02T20:20:54Z,,0,9.6,3.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-34527,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,774e45aee28940ba8c5b97ff8acd0bd6,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-SSRS2NDDEV,10.7.136.105,Server,Windows Server 2016,ead.ubc.ca,"SSRS Application Servers,Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-31979,Windows Kernel Elevation of Privilege Vulnerability,open,HIGH,2021-07-15T19:23:50Z,,0,7.8,3.0,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31979,,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,774e45aee28940ba8c5b97ff8acd0bd6,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-SSRS2NDDEV,10.7.136.105,Server,Windows Server 2016,ead.ubc.ca,"SSRS Application Servers,Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-1675,Windows Print Spooler Elevation of Privilege Vulnerability,open,HIGH,2021-06-09T16:10:37Z,,0,7.8,3.0,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-1675,,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,774e45aee28940ba8c5b97ff8acd0bd6,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-DOCPRODAPP,10.7.8.8,Server,Windows Server 2016,ead.ubc.ca,"Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-33771,Windows Kernel Elevation of Privilege Vulnerability,open,HIGH,2021-07-15T19:12:19Z,,0,7.8,3.0,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-33771,,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,ff0c96b0d32147d6a89ad4a3368592e3,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-DOCPRODAPP,10.7.8.8,Server,Windows Server 2016,ead.ubc.ca,"Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-31979,Windows Kernel Elevation of Privilege Vulnerability,open,HIGH,2021-07-15T19:12:19Z,,0,7.8,3.0,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-31979,,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,ff0c96b0d32147d6a89ad4a3368592e3,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-DOCPRODAPP,10.7.8.8,Server,Windows Server 2016,ead.ubc.ca,"Servers,RISE,SERVICES",Vancouver,Windows,CVE-2021-34527,Windows Print Spooler Remote Code Execution Vulnerability,open,CRITICAL,2021-07-02T20:04:22Z,,0,9.6,3.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-34527,Update Microsoft Windows Server 2016,Install patch for Microsoft Windows Server 2016 1607 x64 (Server): Security Update KB5004238,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5004238,GRP-Win-Servers,FalconGroupingTags/RISe,ff0c96b0d32147d6a89ad4a3368592e3,90,Actively used (critical),Windows,Windows Windows Server 2016,,O
RISE-DOCPRODAPP,10.7.8.8,Server,Windows Server 2016,ead.ubc.ca,"Servers,RISE,SERVICES",Vancouver,Microsoft SQL Server 2016 (64-bit),CVE-2020-0618,"A remote code execution vulnerability exists in Microsoft SQL Server Reporting Services when it incorrectly handles page requests, aka 'Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability'.",open,HIGH,2021-02-28T14:30:53Z,,0,8.8,3.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0618,"http://packetstormsecurity.com/files/156707/SQL-Server-Reporting-Services-SSRS-ViewState-Deserialization.html, http://packetstormsecurity.com/files/159216/Microsoft-SQL-Server-Reporting-Services-2016-Remote-Code-Execution.html",Update Microsoft Sql Server 2016,Install patch for Microsoft Sql Server 2016 on Microsoft Windows Server 2016 1607 x64 (Server): Update KB5001092 CU or Security Update KB4583460 GDR,https://www.catalog.update.microsoft.com/Search.aspx?q=5001092,GRP-Win-Servers,FalconGroupingTags/RISe,ff0c96b0d32147d6a89ad4a3368592e3,60,Easily Accessible (high),Windows,Microsoft SQL Server 2016 (64-bit) 13.0.5026.0,,O
